archivo,columna,tipo,unidad,rango_admisible,valores_perdidos,procedencia,descripcion
datos_crudos/encuesta_respuestas_crudas.csv,2. ¿Con qué frecuencia considera que se presentan inconvenientes durante la atención o gestión en una clínica veterinaria?,Categórico ordinal (escala Likert 4 niveles),NA,{Nunca; Rara vez; Algunas veces; Frecuentemente},0,"Exportación directa de Google Forms, sin modificar.",Frecuencia percibida de inconvenientes durante la atención o gestión.
datos_crudos/encuesta_respuestas_crudas.csv,3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?,Categórico ordinal (escala Likert 5 niveles),NA,{Nada importante; Poco importante; Neutral; Importante; Muy importante},0,"Exportación directa de Google Forms, sin modificar.",Nivel de importancia atribuido al uso de un sistema informático.
datos_crudos/encuesta_respuestas_crudas.csv,4. ¿Cuál de los siguientes aspectos considera que debería mejorarse en una clínica veterinaria?,Categórico nominal,NA,{Historial clínico; Inventario de medicamentos; Comunicación con los dueños de mascotas; Facturación; Gestión de citas},0,"Exportación directa de Google Forms, sin modificar.","Principal aspecto que debería mejorarse, según el participante."
datos_crudos/encuesta_respuestas_crudas.csv,"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?",Categórico ordinal (escala Likert 5 niveles),NA,{Nada útil; Poco útil; Neutral; Útil; Muy útil},0,"Exportación directa de Google Forms, sin modificar.",Percepción sobre la utilidad de recibir recordatorios mediante un sistema digital.
datos_crudos/encuesta_respuestas_crudas.csv,6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?,Categórico ordinal (escala Likert 5 niveles),NA,{Totalmente en desacuerdo; En desacuerdo; Neutral; De acuerdo; Totalmente de acuerdo},0,"Exportación directa de Google Forms, sin modificar.",Nivel de acuerdo con utilizar IA como apoyo en clínicas veterinarias.
datos_crudos/encuesta_respuestas_crudas.csv,"7. Desde su experiencia, ¿Cuál considera que es el principal problema o dificultad que existe actualmente en la atención o gestión de una clínica veterinaria?",Texto abierto,NA,Respuesta libre (56 respuestas distintas registradas),0,"Exportación directa de Google Forms, sin modificar.","Problema o dificultad principal identificado por el participante, en sus propias palabras."
datos_crudos/encuesta_respuestas_crudas.csv,8. ¿Qué características o funciones le gustaría que tuviera un sistema para mejorar la gestión y atención en una clínica veterinaria?,Texto abierto,NA,Respuesta libre (56 respuestas distintas registradas),0,"Exportación directa de Google Forms, sin modificar.","Funciones o características que el participante quisiera incorporar al sistema, en sus propias palabras."
datos_crudos/encuesta_respuestas_crudas.csv,9. ¿Qué beneficios cree que aportaría un sistema de gestión con inteligencia artificial a una clínica veterinaria?,Texto abierto,NA,Respuesta libre (56 respuestas distintas registradas),0,"Exportación directa de Google Forms, sin modificar.","Beneficios que el participante considera que aportaría un sistema con IA, en sus propias palabras."
datos_crudos/encuesta_respuestas_crudas.csv,10. ¿Tiene alguna sugerencia o comentario que considere importante para el diseño de un Sistema de Gestión para Clínicas Veterinarias con Inteligencia Artificial (SGCV-IA)?,Texto abierto,NA,Respuesta libre (48 respuestas distintas registradas),0,"Exportación directa de Google Forms, sin modificar.","Comentarios o sugerencias adicionales para el diseño del SGCV-IA, en palabras del participante."
datos_procesados/encuesta_limpia.csv,Marca temporal,Fecha/Hora (timestamp),fecha y hora,2026-05-26 a 2026-09 (ventana de recolección),0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.",Registrado automáticamente por Google Forms al enviar la respuesta.
datos_procesados/encuesta_limpia.csv,Puntuación,Numérico entero,puntos,0 (constante; el formulario no usa puntaje),0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.","Campo de puntaje generado por Google Forms, no utilizado en este cuestionario."
datos_procesados/encuesta_limpia.csv,¿Acepta participar en esta encuesta?,Categórico nominal,NA,"{Sí, acepto participar.}",0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.",Confirmación de consentimiento para responder la encuesta.
datos_procesados/encuesta_limpia.csv,1. Rol del participante (Seleccione una opción),Categórico nominal,NA,{Administrador(a) de clínica veterinaria; Auxiliar o técnico veterinario; Médico veterinario(a); Dueño(a) de mascota},0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.",Rol declarado por el participante en el ámbito veterinario.
datos_procesados/encuesta_limpia.csv,2. Edad,Categórico ordinal,NA,{18–25; 26–35; 36–45; 46–55} años,0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.",Rango de edad autodeclarado.
datos_procesados/encuesta_limpia.csv,3. Sexo,Categórico nominal,NA,{Masculino; Femenino},0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.",Sexo autodeclarado.
datos_procesados/encuesta_limpia.csv,4. Ciudad,Categórico nominal (texto con variantes de capitalización sin normalizar),NA,Texto libre; ciudades de Ecuador reportadas por el participante,0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.",Ciudad de residencia o procedencia declarada.
datos_procesados/encuesta_limpia.csv,"5. En caso de trabajar en una clínica veterinaria, ¿cuántos años de experiencia tiene?",Categórico ordinal,años,{Menos de 1 años; De 2 a 5 años; De 6 a 10 años; Más de 10 años; No aplica},0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.",Tiempo de experiencia trabajando en una clínica veterinaria; 'No aplica' para quien no trabaja en una.
datos_procesados/encuesta_limpia.csv,"6. En caso de ser dueño(a) de mascota, ¿cuántas mascotas tiene actualmente?",Categórico ordinal,mascotas,{1; 2; 3 o más; No aplica},0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.",Cantidad de mascotas que posee actualmente el participante.
datos_procesados/encuesta_limpia.csv,1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?,Categórico ordinal (escala Likert 5 niveles),NA,{Muy mala; Mala; Regular; Buena; Muy buena},0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.",Valoración de la organización y gestión de información en clínicas veterinarias.
datos_procesados/encuesta_limpia.csv,2. ¿Con qué frecuencia considera que se presentan inconvenientes durante la atención o gestión en una clínica veterinaria?,Categórico ordinal (escala Likert 4 niveles),NA,{Nunca; Rara vez; Algunas veces; Frecuentemente},0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.",Frecuencia percibida de inconvenientes durante la atención o gestión.
datos_procesados/encuesta_limpia.csv,3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?,Categórico ordinal (escala Likert 5 niveles),NA,{Nada importante; Poco importante; Neutral; Importante; Muy importante},0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.",Nivel de importancia atribuido al uso de un sistema informático.
datos_procesados/encuesta_limpia.csv,4. ¿Cuál de los siguientes aspectos considera que debería mejorarse en una clínica veterinaria?,Categórico nominal,NA,{Historial clínico; Inventario de medicamentos; Comunicación con los dueños de mascotas; Facturación; Gestión de citas},0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.","Principal aspecto que debería mejorarse, según el participante."
datos_procesados/encuesta_limpia.csv,"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?",Categórico ordinal (escala Likert 5 niveles),NA,{Nada útil; Poco útil; Neutral; Útil; Muy útil},0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.",Percepción sobre la utilidad de recibir recordatorios mediante un sistema digital.
datos_procesados/encuesta_limpia.csv,6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?,Categórico ordinal (escala Likert 5 niveles),NA,{Totalmente en desacuerdo; En desacuerdo; Neutral; De acuerdo; Totalmente de acuerdo},0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.",Nivel de acuerdo con utilizar IA como apoyo en clínicas veterinarias.
datos_procesados/encuesta_limpia.csv,"7. Desde su experiencia, ¿Cuál considera que es el principal problema o dificultad que existe actualmente en la atención o gestión de una clínica veterinaria?",Texto abierto,NA,Respuesta libre (56 respuestas distintas registradas),0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.","Problema o dificultad principal identificado por el participante, en sus propias palabras."
datos_procesados/encuesta_limpia.csv,8. ¿Qué características o funciones le gustaría que tuviera un sistema para mejorar la gestión y atención en una clínica veterinaria?,Texto abierto,NA,Respuesta libre (56 respuestas distintas registradas),0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.","Funciones o características que el participante quisiera incorporar al sistema, en sus propias palabras."
datos_procesados/encuesta_limpia.csv,9. ¿Qué beneficios cree que aportaría un sistema de gestión con inteligencia artificial a una clínica veterinaria?,Texto abierto,NA,Respuesta libre (56 respuestas distintas registradas),0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.","Beneficios que el participante considera que aportaría un sistema con IA, en sus propias palabras."
datos_procesados/encuesta_limpia.csv,10. ¿Tiene alguna sugerencia o comentario que considere importante para el diseño de un Sistema de Gestión para Clínicas Veterinarias con Inteligencia Artificial (SGCV-IA)?,Texto abierto,NA,Respuesta libre (48 respuestas distintas registradas),0,"encuesta_respuestas_crudas.csv, tras verificación de duplicados y valores faltantes (ver resultados/reporte_limpieza.md); sin cambios de contenido — no se encontraron duplicados ni faltantes.","Comentarios o sugerencias adicionales para el diseño del SGCV-IA, en palabras del participante."
datos_procesados/encuesta_procesada.csv,Marca temporal,Fecha/Hora (timestamp),fecha y hora,2026-05-26 a 2026-09 (ventana de recolección),0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.",Registrado automáticamente por Google Forms al enviar la respuesta.
datos_procesados/encuesta_procesada.csv,Puntuación,Numérico entero,puntos,0 (constante; el formulario no usa puntaje),0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.","Campo de puntaje generado por Google Forms, no utilizado en este cuestionario."
datos_procesados/encuesta_procesada.csv,¿Acepta participar en esta encuesta?,Categórico nominal,NA,"{Sí, acepto participar.}",0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.",Confirmación de consentimiento para responder la encuesta.
datos_procesados/encuesta_procesada.csv,1. Rol del participante (Seleccione una opción),Categórico nominal,NA,{Administrador(a) de clínica veterinaria; Auxiliar o técnico veterinario; Médico veterinario(a); Dueño(a) de mascota},0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.",Rol declarado por el participante en el ámbito veterinario.
datos_procesados/encuesta_procesada.csv,2. Edad,Categórico ordinal,NA,{18–25; 26–35; 36–45; 46–55} años,0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.",Rango de edad autodeclarado.
datos_procesados/encuesta_procesada.csv,3. Sexo,Categórico nominal,NA,{Masculino; Femenino},0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.",Sexo autodeclarado.
datos_procesados/encuesta_procesada.csv,4. Ciudad,Categórico nominal (texto con variantes de capitalización sin normalizar),NA,Texto libre; ciudades de Ecuador reportadas por el participante,0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.",Ciudad de residencia o procedencia declarada.
datos_procesados/encuesta_procesada.csv,"5. En caso de trabajar en una clínica veterinaria, ¿cuántos años de experiencia tiene?",Categórico ordinal,años,{Menos de 1 años; De 2 a 5 años; De 6 a 10 años; Más de 10 años; No aplica},0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.",Tiempo de experiencia trabajando en una clínica veterinaria; 'No aplica' para quien no trabaja en una.
datos_procesados/encuesta_procesada.csv,"6. En caso de ser dueño(a) de mascota, ¿cuántas mascotas tiene actualmente?",Categórico ordinal,mascotas,{1; 2; 3 o más; No aplica},0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.",Cantidad de mascotas que posee actualmente el participante.
datos_procesados/encuesta_procesada.csv,1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?,Categórico ordinal (escala Likert 5 niveles),NA,{Muy mala; Mala; Regular; Buena; Muy buena},0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.",Valoración de la organización y gestión de información en clínicas veterinarias.
datos_procesados/encuesta_procesada.csv,2. ¿Con qué frecuencia considera que se presentan inconvenientes durante la atención o gestión en una clínica veterinaria?,Categórico ordinal (escala Likert 4 niveles),NA,{Nunca; Rara vez; Algunas veces; Frecuentemente},0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.",Frecuencia percibida de inconvenientes durante la atención o gestión.
datos_procesados/encuesta_procesada.csv,3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?,Categórico ordinal (escala Likert 5 niveles),NA,{Nada importante; Poco importante; Neutral; Importante; Muy importante},0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.",Nivel de importancia atribuido al uso de un sistema informático.
datos_procesados/encuesta_procesada.csv,4. ¿Cuál de los siguientes aspectos considera que debería mejorarse en una clínica veterinaria?,Categórico nominal,NA,{Historial clínico; Inventario de medicamentos; Comunicación con los dueños de mascotas; Facturación; Gestión de citas},0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.","Principal aspecto que debería mejorarse, según el participante."
datos_procesados/encuesta_procesada.csv,"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?",Categórico ordinal (escala Likert 5 niveles),NA,{Nada útil; Poco útil; Neutral; Útil; Muy útil},0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.",Percepción sobre la utilidad de recibir recordatorios mediante un sistema digital.
datos_procesados/encuesta_procesada.csv,6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?,Categórico ordinal (escala Likert 5 niveles),NA,{Totalmente en desacuerdo; En desacuerdo; Neutral; De acuerdo; Totalmente de acuerdo},0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.",Nivel de acuerdo con utilizar IA como apoyo en clínicas veterinarias.
datos_procesados/encuesta_procesada.csv,"7. Desde su experiencia, ¿Cuál considera que es el principal problema o dificultad que existe actualmente en la atención o gestión de una clínica veterinaria?",Texto abierto,NA,Respuesta libre (56 respuestas distintas registradas),0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.","Problema o dificultad principal identificado por el participante, en sus propias palabras."
datos_procesados/encuesta_procesada.csv,8. ¿Qué características o funciones le gustaría que tuviera un sistema para mejorar la gestión y atención en una clínica veterinaria?,Texto abierto,NA,Respuesta libre (56 respuestas distintas registradas),0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.","Funciones o características que el participante quisiera incorporar al sistema, en sus propias palabras."
datos_procesados/encuesta_procesada.csv,9. ¿Qué beneficios cree que aportaría un sistema de gestión con inteligencia artificial a una clínica veterinaria?,Texto abierto,NA,Respuesta libre (56 respuestas distintas registradas),0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.","Beneficios que el participante considera que aportaría un sistema con IA, en sus propias palabras."
datos_procesados/encuesta_procesada.csv,10. ¿Tiene alguna sugerencia o comentario que considere importante para el diseño de un Sistema de Gestión para Clínicas Veterinarias con Inteligencia Artificial (SGCV-IA)?,Texto abierto,NA,Respuesta libre (48 respuestas distintas registradas),0,"encuesta_limpia.csv, leída por 07_Datos/scripts/importar_datos.R; sin cambios de contenido respecto de encuesta_limpia.csv.","Comentarios o sugerencias adicionales para el diseño del SGCV-IA, en palabras del participante."
datos_procesados/transcripciones_metadata.csv,id_participante,Categórico nominal (código),NA,"{P01, P02, ..., P16}",0,"Asignado por el equipo al recolectar las entrevistas, en orden de realización.",Código anonimizado del participante entrevistado.
datos_procesados/transcripciones_metadata.csv,archivo,Texto (nombre de archivo),NA,Nombre de archivo en datos_crudos/Entrevistas/,0,Generado por 07_Datos/scripts/importar_datos.R a partir del nombre real del archivo de transcripción.,Nombre del archivo de transcripción correspondiente.
datos_procesados/transcripciones_metadata.csv,fecha_sesion,Fecha,fecha (AAAA-MM-DD),2026-05-26 a 2026-08-31,0,Bitácora del equipo; coincide con la fecha en el nombre del archivo de transcripción.,Fecha en que se realizó la entrevista.
datos_procesados/transcripciones_metadata.csv,rol,Categórico nominal (texto libre parcialmente normalizado),NA,"Ver transcripciones_metadata.csv; incluye 'Veterinario', 'Veterinario/a (por confirmar)', entre otros",0,"Bitácora del equipo, a partir de lo declarado por el participante en la entrevista.",Rol profesional del participante entrevistado. Los valores '(por confirmar)' quedan pendientes de verificación con el equipo.
datos_procesados/transcripciones_metadata.csv,n_palabras_transcripcion,Numérico entero,palabras,"850 a 2713 (mínimo aceptado: 300, según resultados/reporte_limpieza.md)",0,Calculado por 07_Datos/scripts/importar_datos.R contando palabras del texto de la transcripción.,Extensión de la transcripción en número de palabras.
