Fila,Participante_declarado,Fragmento,Mejor_candidato,Similitud_mejor_candidato,Posible_reatribucion
151,P15,[Escala] La opción cinco... totalmente de acuerdo,P11,0.74,SI
155,P15,"Que el sistema también ayude a organizar las tareas del personal auxiliar, no solamente la información médica",P11,0.91,SI
156,P16,Las historias clínicas se realizan en cuadernos físicos... en algunos casos cambiamos esto a hojas de Excel,P13,0.92,SI
157,P16,Consultas de 10 a 15 minutos porque hay que copiar datos que ya estaban en anteriores fichas,P13,0.86,SI
159,P16,Hemos tenido casos de medicamentos vencidos y no hay una alerta que nos avise,P13,0.66,SI
160,P16,Nos cancelan de dos a tres a la semana... no usamos ningún recordatorio automático,P13,0.63,SI
162,P16,Nos dicen que en el chat GPT vieron que sí podría... no es tan confiable como un veterinario físicamente,P13,0.56,SI
163,P16,[Escala] El cuatro... siempre debe quedar la decisión final en manos del especialista,P13,0.78,SI
165,P16,Que el veterinario pueda revisar y corregir las sugerencias... que los datos no se compartan con terceros,P09,0.7,SI
166,P16,Necesita acceso desde cualquier dispositivo... funcione rápido... el personal cambia con mucha frecuencia,P07,0.66,SI
