ID_Trazabilidad,Ley,Articulo,Objetivo,Interesado,EV,RF_RNF_RD,CU,HU,CA,Componente,Mockup,ID_Flujo,Descripcion_Flujo
TR-57,LOPDP,Art. 4,OE-01,Equipo de desarrollo,EV-12,RST-07,CU-03,HU-27,CA-27,Backend Historiales Clínicos,MU-032_Log_De_Auditoria,Principal,Flujo principal / requisito base
TR-58,LOPDP,Art. 20,OE-02,Equipo de desarrollo,"EV-01,EV-02,EV-13",RST-08,CU-06,HU-17,CA-17,Módulo IA Diagnóstico,MU-010_Sugerencia_IA,Principal,Flujo principal / requisito base
TR-59,—,Sec. 1.2,Transversal,Equipo de desarrollo,"Derivado — ERS Sección 1.2 (Alcance del producto), RST-09",RST-09,Transversal,—,—,Infraestructura/Backend,No aplica,Principal,Flujo principal / requisito base
TR-60,LOPDP,"Art. 47, 48",Transversal (LOPDP),Comité de ética / protección de datos (LOPDP),Normativo,RST-10,Transversal,—,—,Infraestructura/Backend,No aplica,Principal,Flujo principal / requisito base
TR-61,—,—,OE-02,Equipo de desarrollo,"Derivado — Guía de desarrollo Entrega 4 (2B) Sección 8 + Criterio C4 (legal), RNF-19",RNF-19,CU-06,HU-28,CA-28,Módulo IA Diagnóstico,MU-010_Sugerencia_IA,Principal,Flujo principal / requisito base
TR-62,—,—,OE-02,Equipo de desarrollo,"Derivado — Guía de desarrollo Entrega 4 (2B) Sección 8, RNF-20",RNF-20,CU-06,HU-29,CA-29,Módulo IA Diagnóstico,MU-010_Sugerencia_IA,Principal,Flujo principal / requisito base
TR-63,—,"RST-05, RST-08 (supervisión humana)",OE-02,Médico veterinario,"EV-01,EV-02",RNF-21,CU-06,HU-17,CA-17,Módulo IA Diagnóstico,MU-010_Sugerencia_IA,Principal,Flujo principal / requisito base
TR-64,—,—,Transversal (OE-01/02/03),Personal administrativo / Veterinario / Propietario,—,N/A (evento de flujo),CU-01,—,—,Módulo Autenticación/Usuarios,—,A1,Credenciales incorrectas — nuevo intento sin bloquear cuenta
TR-65,—,—,Transversal (OE-01/02/03),Personal administrativo / Veterinario / Propietario,—,N/A (evento de flujo),CU-01,—,—,Módulo Autenticación/Usuarios,—,A2,Campos obligatorios vacíos — solicita completar antes de reintentar
TR-66,—,—,Transversal (OE-01/02/03),Personal administrativo / Veterinario / Propietario,—,N/A (evento de flujo),CU-01,—,—,Módulo Autenticación/Usuarios,—,E1,Cuenta inactiva o suspendida — deniega el acceso
TR-67,—,—,OE-01,Médico veterinario,EV-01,RF-04,CU-02,—,—,Backend Historiales Clínicos,—,A1,Solicita sugerencia de IA — deriva a CU-06
TR-68,—,—,OE-01,Médico veterinario,EV-01,RF-04,CU-02,—,—,Backend Historiales Clínicos,—,A2,Registra seguimiento nutricional — deriva a CU-07
TR-69,—,—,OE-01,Médico veterinario,EV-01,RF-04,CU-02,—,—,Backend Historiales Clínicos,—,A3,Registra comunicación con el dueño — deriva a CU-08
TR-70,—,—,OE-01,Médico veterinario,EV-01,RF-04,CU-02,—,—,Backend Historiales Clínicos,—,E1,Información clínica incompleta/inconsistente — rechaza el guardado
TR-71,—,—,OE-01,Médico veterinario,EV-01,RF-16,CU-03,—,—,Backend Historiales Clínicos,—,A1,Exporta historial clínico en PDF
TR-72,—,—,OE-01,Médico veterinario,EV-01,RF-02,CU-03,—,—,Backend Historiales Clínicos,—,E1,Paciente no encontrado con los criterios de búsqueda
TR-73,—,—,OE-03,Personal administrativo,EV-02,RF-05,CU-04,—,—,Backend Inventario,—,A1,Stock mínimo alcanzado tras salida válida — deriva a CU-09 (alerta)
TR-74,—,—,OE-03,Personal administrativo,EV-01,RF-06,CU-04,—,—,Backend Inventario,—,E1,Salida solicitada mayor al stock disponible — rechaza la operación
TR-75,—,—,OE-03,Personal administrativo,Derivado — necesidad operativa del equipo (RF-28); no elicitado de entrevista (declarado en ERS),RF-28,CU-05,HU-30,CA-30,Backend Gestión de Personal,—,Principal,Flujo principal de gestion de empleados; CU-05 quedo con trazabilidad completa al agregar RF-28 (resuelto)
TR-76,—,—,OE-03,Personal administrativo,Derivado — necesidad operativa del equipo (RF-28); no elicitado de entrevista (declarado en ERS),RF-28,CU-05,HU-30,CA-30,Backend Gestión de Personal,—,A1,Asigna permisos al empleado
TR-77,—,—,OE-03,Personal administrativo,Derivado — necesidad operativa del equipo (RF-28); no elicitado de entrevista (declarado en ERS),RF-28,CU-05,HU-30,CA-30,Backend Gestión de Personal,—,A2,Restablece contraseña del empleado
TR-78,—,—,OE-03,Personal administrativo,Derivado — necesidad operativa del equipo (RF-28); no elicitado de entrevista (declarado en ERS),RF-28,CU-05,HU-30,CA-30,Backend Gestión de Personal,—,E1,Información inválida al modificar — no guarda hasta corregir
TR-79,—,—,OE-02,Médico veterinario,EV-01,RF-17,CU-06,—,—,Módulo IA Diagnóstico,—,A1,Veterinario rechaza la sugerencia — se registra el rechazo
TR-80,—,—,OE-01,Médico veterinario,EV-01,RF-13,CU-07,—,—,Backend Seguimiento Nutricional,—,A1,Datos insuficientes — solicita completar raza/edad/peso
TR-81,—,—,OE-01,Médico veterinario,EV-01,RF-14,CU-07,—,—,Backend Seguimiento Nutricional,—,E1,Módulo de recomendación falla — queda pendiente de generación
TR-82,—,—,OE-03,Propietario de la mascota,EV-01,RF-09,CU-08,—,—,Módulo Comunicaciones,—,A1,Falla transitoria del servicio de mensajería — permite reintentar
TR-83,—,—,OE-03,Propietario de la mascota,EV-02,RF-10,CU-08,—,—,Módulo Comunicaciones,—,E1,Servicio de mensajería no disponible tras reintentos — marca como no entregada
TR-84,—,—,OE-03,Personal administrativo / Bodeguero,EV-01,RF-06,CU-09,—,—,Backend Inventario,—,A1,No hay alertas activas — muestra centro vacío sin error [ver nota CU-09 abajo]
TR-85,—,—,OE-03,Personal administrativo / Bodeguero,EV-02,RF-05,CU-09,—,—,Backend Inventario,—,E1,Producto sin fecha de vencimiento registrada — excluye del cálculo automático [ver nota CU-09 abajo]
TR-86,—,—,OE-03,Personal administrativo,EV-02,RF-08,CU-10,—,—,Backend Facturación,—,A1,Monto incorrecto calculado — ajuste manual antes de confirmar
TR-87,—,—,OE-03,Personal administrativo,EV-02,RF-08,CU-10,—,—,Backend Facturación,—,E1,Error interno al generar comprobante — cobro queda pendiente de reintento
